img_name,top1,top1_prob,top2,top2_prob,top3,top3_prob
2024-08-27_09-48-23-819824_ID14_crop.jpg,fly,0.9,hfly_eristal,0.01,bee,0.0
2024-08-27_09-48-25-223144_ID14_crop.jpg,fly,0.89,hfly_eristal,0.01,other,0.01
2024-08-27_09-48-26-651774_ID14_crop.jpg,fly,0.9,hfly_eristal,0.01,bee,0.0
2024-08-27_09-48-28-032310_ID14_crop.jpg,fly,0.9,hfly_eristal,0.01,none_dirt,0.0
2024-08-27_09-48-29-449079_ID14_crop.jpg,fly,0.91,none_dirt,0.0,hfly_eristal,0.0
2024-08-27_09-48-30-865579_ID14_crop.jpg,fly,0.89,hfly_eristal,0.01,none_dirt,0.01
2024-08-27_09-48-32-290504_ID14_crop.jpg,fly,0.89,hfly_eristal,0.01,bee,0.0
2024-08-27_09-48-33-716028_ID14_crop.jpg,fly,0.9,hfly_eristal,0.0,hfly_syrphus,0.0
2024-08-27_09-48-35-152817_ID14_crop.jpg,fly,0.88,hfly_eristal,0.01,other,0.01
2024-08-27_09-48-36-629314_ID14_crop.jpg,fly,0.9,bee,0.0,bug,0.0
2024-08-27_09-48-38-054354_ID14_crop.jpg,fly,0.91,beetle,0.0,bug,0.0
2024-08-27_09-48-39-508399_ID14_crop.jpg,fly,0.91,beetle,0.0,bee,0.0
2024-08-27_09-48-40-901363_ID14_crop.jpg,fly,0.91,beetle,0.0,bee,0.0
2024-08-27_09-48-42-332306_ID14_crop.jpg,fly,0.91,fly_small,0.0,beetle,0.0
2024-08-27_09-48-43-775545_ID14_crop.jpg,fly,0.91,beetle,0.0,bug,0.0
2024-08-27_09-48-45-222380_ID14_crop.jpg,fly,0.91,beetle,0.0,bug,0.0
2024-08-27_09-48-46-645451_ID14_crop.jpg,fly,0.91,fly_small,0.01,other,0.0
2024-08-27_09-48-48-063056_ID14_crop.jpg,fly,0.91,beetle,0.0,fly_small,0.0
2024-08-27_09-48-49-499774_ID14_crop.jpg,fly,0.9,none_bg,0.0,bug,0.0
2024-08-27_09-48-50-924603_ID14_crop.jpg,fly,0.89,bug,0.01,beetle,0.0
2024-08-27_09-48-52-328733_ID14_crop.jpg,fly,0.91,fly_small,0.0,none_bg,0.0
